Period Ending:,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income,Net Income Applicable to Common Shareholders,Symbol
2019-12-31,37266000,14619000.0,22647000.0,0.0,12561000.0,0.0,0.0,10086000.0,597000.0,11732000,946000.0,10786000,1801000,1049000.0,65000.0,8920000,8920000,KO
2023-03-31,86707000,63107000.0,23600000.0,0.0,14706000.0,0.0,0.0,9078000.0,233000.0,9312000,443000.0,8869000,1778000,184000.0,0.0,7090000,7090000,SONY
2022-03-31,81743000,59484000.0,22259000.0,0.0,12547000.0,0.0,0.0,9906000.0,159000.0,10065000,858000.0,9207000,1888000,195000.0,0.0,7320000,7320000,SONY
2021-03-31,81436000,59435000.0,22001000.0,0.0,13461000.0,0.0,0.0,8645000.0,758000.0,9403000,372000.0,9031000,416000,105000.0,0.0,9447000,9447000,SONY
2020-04-01,76512000,54884000.0,21628000.0,0.0,13886000.0,0.0,0.0,7832000.0,323000.0,7508000,103000.0,7405000,1641000,89000.0,371000.0,5393000,5393000,SONY
2022-12-31,31496000,20184000.0,11312000.0,0.0,7384000.0,262000.0,132000.0,3534000.0,117000.0,3651000,423000.0,3228000,865000,363000.0,9000.0,2717000,2717000,MDLZ
2021-12-31,28720000,17466000.0,11254000.0,0.0,6255000.0,212000.0,134000.0,4653000.0,163000.0,4816000,447000.0,4369000,1190000,1135000.0,14000.0,4300000,4300000,MDLZ
2020-12-31,26581000,16135000.0,10446000.0,0.0,6098000.0,301000.0,194000.0,3853000.0,138000.0,3991000,608000.0,3383000,1224000,1410000.0,14000.0,3555000,3555000,MDLZ
2019-12-31,25868000,15531000.0,10337000.0,0.0,6136000.0,228000.0,174000.0,3843000.0,104000.0,3903000,456000.0,3447000,2000,499000.0,15000.0,3929000,3929000,MDLZ
2022-12-31,44915000,25944000.0,18971000.0,1471000.0,8993000.0,114000.0,0.0,8393000.0,168000.0,8561000,726000.0,7835000,703000,172000.0,10000.0,6950000,6950000,TMO
2021-12-31,39211000,19573000.0,19638000.0,1406000.0,8007000.0,197000.0,0.0,10028000.0,651000.0,9377000,536000.0,8841000,1109000,4000.0,3000.0,7725000,7725000,TMO
2020-12-31,32218000,16214000.0,16004000.0,1181000.0,6930000.0,99000.0,0.0,7794000.0,11000.0,7783000,553000.0,7230000,850000,3000.0,2000.0,6375000,6375000,TMO
2019-12-31,25542000,14214000.0,11328000.0,1003000.0,6144000.0,413000.0,0.0,4594000.0,154000.0,4748000,676000.0,4072000,374000,0.0,2000.0,3696000,3696000,TMO
2022-12-31,33364000,19450000.0,13914000.0,143000.0,4198000.0,0.0,4204000.0,5369000.0,237000.0,5606000,63000.0,5543000,1434000,172000.0,134000.0,4147000,4147000,LIN
2021-12-31,30793000,17543000.0,13250000.0,143000.0,3488000.0,0.0,4635000.0,4984000.0,192000.0,5176000,77000.0,5099000,1262000,119000.0,135000.0,3826000,3826000,LIN
2020-12-31,27243000,15383000.0,11860000.0,152000.0,3760000.0,0.0,4626000.0,3322000.0,177000.0,3499000,115000.0,3384000,847000,85000.0,125000.0,2501000,2501000,LIN
2019-12-31,28228000,16644000.0,11584000.0,184000.0,3956000.0,0.0,4675000.0,2933000.0,196000.0,3129000,38000.0,3091000,769000,114000.0,96000.0,2285000,2285000,LIN
2022-12-31,31471000,12522000.0,18949000.0,1745000.0,8516000.0,0.0,0.0,8688000.0,185000.0,8503000,211000.0,8292000,1083000,0.0,0.0,7209000,7103000,DHR
2021-12-31,29453000,11501000.0,17952000.0,1742000.0,8745000.0,0.0,0.0,7465000.0,371000.0,7836000,238000.0,7598000,1251000,0.0,0.0,6433000,6269000,DHR
2020-12-31,22284000,9809000.0,12475000.0,1348000.0,6896000.0,0.0,0.0,4231000.0,539000.0,4770000,275000.0,4495000,849000,0.0,0.0,3646000,3510000,DHR
2019-12-31,17911000,7927000.0,9984000.0,1126000.0,5589000.0,0.0,0.0,3269000.0,144000.0,3413000,108000.0,3305000,873000,0.0,0.0,3008000,2940000,DHR
